관서명,주소,Latitude,Longitude
대림3파출소,서울특별시 영등포구 대림로 197,37.4983297,126.8980767
영등포역파출소,서울특별시 영등포구 영신로20길 11,37.5151247,126.9087325
한양지구대,서울특별시 성동구  사근동길 5,37.5603055,127.041766
성수지구대,서울특별시 성동구  광나루로2길 35 성수지구대,37.5481496,127.0551847
서울숲지구대,서울특별시 성동구  성덕정길 77-2,37.5380443,127.0522756
왕십리파출소,서울특별시 성동구  마장로 205,37.5666533,127.0326493
행당파출소,서울특별시 성동구  행당로 89,37.5574251,127.0288558
옥수파출소,서울특별시 성동구  독서당로 211,37.5449597,127.0138463
금호파출소,서울특별시 성동구  금호로11길 2-1,37.5547323,127.0196132
응봉파출소,서울특별시 성동구  독서당로 373 응봉파출소,37.549767,127.0300234
용답파출소,서울특별시 성동구  용답중앙길 49 용답파출소,37.5647586,127.0517402
사당지구대,서울특별시 동작구  동작대로9길 35,37.4804874,126.9797723
노량진지구대,서울특별시 동작구  등용로12나길 2,37.5111541,126.9332824
상도지구대,서울특별시 동작구  등용로 24 ,37.5064892,126.9358441
남성지구대,서울특별시 동작구 사당로17나길 4,37.484119,126.9732502
흑석지구대,서울특별시 동작구 노량진로 248,37.5123933,126.953643
신대방지구대,서울특별시 동작구 신대방1다길 24,37.4866619,126.9059134
대방파출소,서울특별시 동작구 여의대방로 130,37.498567,126.9206022
광나루지구대,서울특별시 광진구 아차산로 567,37.5444558,127.1033877
화양지구대,서울특별시 광진구  능동로17길 39 화양지구대,37.5465667,127.0713499
중곡1파출소,서울특별시 광진구 능동로 385,37.563723,127.0827863
중곡2파출소,서울특별시 광진구  능동로 346,37.5602505,127.0814843
중곡3파출소,서울특별시 광진구 동일로76가길 28,37.5688192,127.0801404
중곡4파출소,서울특별시 광진구  용마산로24길 7,37.5653353,127.087218
자양파출소,서울특별시 광진구 뚝섬로36길 9,37.5338683,127.0716102
자양1파출소,서울특별시 광진구  자양번영로 80,37.5366309,127.076921
자양4파출소,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,37.5351513,127.0636287
